sampleID	feature-id	time_point	collection_status	species	depth	treatment	Transp_To	Tag#	Tag_Code	Tag_Code2	Tag_Color
USVI-177	USVI-177_S171	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	19	Y19*	Y19K	Yellow
USVI-178	USVI-178_S172	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	24	Y24*	Y24K	Yellow
USVI-179	USVI-179_S68	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	34	Y34*	Y34K	Yellow
USVI-181	USVI-181_S173	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	49	Y49*	Y49K	Yellow
USVI-182	USVI-182_S69	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	54	Y54*	Y54K	Yellow
USVI-184	USVI-184_S70	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	74	Y74*	Y74K	Yellow
USVI-185	USVI-185_S71	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	79	Y79*	Y79K	Yellow
USVI-186	USVI-186_S72	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	84	Y84*	Y84K	Yellow
USVI-187	USVI-187_S73	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	88	Y88*	Y88K	Yellow
USVI-188	USVI-188_S174	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	20	B20*	B20K	Blue
USVI-190	USVI-190_S175	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	19	B19*	B19K	Blue
USVI-192	USVI-192_S176	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	44	B44*	B44K	Blue
USVI-195	USVI-195_S177	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	74	B74*	B74K	Blue
USVI-196	USVI-196_S178	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	79	B79*	B79K	Blue
USVI-197	USVI-197_S179	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	84	B84*	B84K	Blue
USVI-198	USVI-198_S180	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	88	B88*	B88K	Blue
USVI-199	USVI-199_S181	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	94	B94*	B94K	Blue
USVI-200	USVI-200_S182	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	99	B99*	B99K	Blue
USVI-201	USVI-201_S183	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	4	O4*	O4K	Orange
USVI-202	USVI-202_S74	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	14	O14*	O14K	Orange
USVI-203	USVI-203_S184	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	24	O24*	O24K	Orange
USVI-205	USVI-205_S75	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	34	O34*	O34K	Orange
USVI-206	USVI-206_S185	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	39	O39*	O39K	Orange
USVI-207	USVI-207_S76	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	43	O43*	O43K	Orange
USVI-208	USVI-208_S77	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	48	O48*	O48K	Orange
USVI-210	USVI-210_S186	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	29	Y29*	Y29K	Yellow
USVI-228	USVI-228_S195	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	9	B9*	B9K	Blue
USVI-138	USVI-138_S48	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	55	Y55	Y55F	Yellow
USVI-141	USVI-141_S50	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	24	O24	O24F	Orange
USVI-142	USVI-142_S51	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	89	B89	B89F	Blue
USVI-166	USVI-166_S162	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	63	O63	O63F	Orange
USVI-209	USVI-209_S78	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	94	Y94	Y94F	Yellow
USVI-211	USVI-211_S187	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	74	O74	O74F	Orange
USVI-212	USVI-212_S79	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	4	O4	O4F	Orange
USVI-213	USVI-213_S80	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	64	O64	O64F	Orange
USVI-214	USVI-214_S188	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	44	B44	B44F	Blue
USVI-215	USVI-215_S189	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	90	B90	B90F	Blue
USVI-217	USVI-217_S81	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	14	B14	B14F	Blue
USVI-218	USVI-218_S82	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	44	O44	O44F	Orange
USVI-219	USVI-219_S191	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	49	B49	B49F	Blue
USVI-220	USVI-220_S83	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	59	B59	B59F	Blue
USVI-227	USVI-227_S194	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	9	O9	O9F	Orange
USVI-230	USVI-230_S87	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	23	Y23	Y23F	Yellow
USVI-231	USVI-231_S196	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	99	Y99	Y99F	Yellow
USVI-234	USVI-234_S197	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	64	B64	B64F	Blue
USVI-235	USVI-235_S198	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	34	Y34	Y34F	Yellow
USVI-237	USVI-237_S199	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	4	Y4	Y4F	Yellow
USVI-239	USVI-239_S201	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	68	Y68	Y68F	Yellow
USVI-241	USVI-241_S202	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	65	O65	O65F	Orange
USVI-243	USVI-243_S203	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	29	O29	O29F	Orange
USVI-244	USVI-244_S90	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	90	B90	B90F	Blue
USVI-245	USVI-245_S204	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	58	O58	O58F	Orange
USVI-247	USVI-247_S91	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	75	B75	B75F	Blue
USVI-248	USVI-248_S205	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	9	Y9	Y9F	Yellow
USVI-249	USVI-249_S206	two	transplant	O. faveolata	Deep	Shallow_Deep	S_D	90	Y90	Y90F	Yellow
USVI-101	USVI-101_S25	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	3	Y3	Y3F	Yellow
USVI-102	USVI-102_S26	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	7	Y7	Y7F	Yellow
USVI-103	USVI-103_S27	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	13	Y13	Y13F	Yellow
USVI-104	USVI-104_S28	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	22	Y22	Y22F	Yellow
USVI-105	USVI-105_S138	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	28	Y28	Y28F	Yellow
USVI-106	USVI-106_S29	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	32	Y32	Y32F	Yellow
USVI-107	USVI-107_S30	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	65	B65	B65F	Blue
USVI-108	USVI-108_S31	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	85	B85	B85F	Blue
